car_name,mpg,cyl,disp,hp,drat,wt,qsec,am,gear,carb
"('Mazda RX4', 0)",8.93,6,160.0,82.03,3.9,2.62,16.46,1,4,4
"('Mazda RX4 Wag', 0)",8.93,6,160.0,82.03,3.9,2.875,17.02,1,4,4
"('Datsun 710', 1)",9.69,4,108.0,69.35,3.85,2.32,18.61,1,4,1
"('Hornet 4 Drive', 1)",9.1,6,258.0,82.03,3.08,3.215,19.44,0,3,1
"('Hornet Sportabout', 0)",7.95,8,360.0,130.5,3.15,3.44,17.02,0,3,2
"('Valiant', 1)",7.7,6,225.0,78.3,2.76,3.46,20.22,0,3,1
"('Duster 360', 0)",6.08,8,360.0,182.7,3.21,3.57,15.84,0,3,4
"('Merc 240D', 1)",10.37,4,146.7,46.23,3.69,3.19,20.0,0,4,2
"('Merc 230', 1)",9.69,4,140.8,70.84,3.92,3.15,22.9,0,4,2
"('Merc 280', 1)",8.16,6,167.6,91.72,3.92,3.44,18.3,0,4,4
"('Merc 280C', 1)",7.57,6,167.6,91.72,3.92,3.44,18.9,0,4,4
"('Merc 450SE', 0)",6.97,8,275.8,134.23,3.07,4.07,17.4,0,3,3
"('Merc 450SL', 0)",7.35,8,275.8,134.23,3.07,3.73,17.6,0,3,3
"('Merc 450SLC', 0)",6.46,8,275.8,134.23,3.07,3.78,18.0,0,3,3
"('Cadillac Fleetwood', 0)",4.42,8,472.0,152.87,2.93,5.25,17.98,0,3,4
"('Lincoln Continental', 0)",4.42,8,460.0,160.33,3.0,5.424,17.82,0,3,4
"('Chrysler Imperial', 0)",6.25,8,440.0,171.51,3.23,5.345,17.42,0,3,4
"('Fiat 128', 1)",13.77,4,78.7,49.22,4.08,2.2,19.47,1,4,1
"('Honda Civic', 1)",12.92,4,75.7,38.78,4.93,1.615,18.52,1,4,2
"('Toyota Corolla', 1)",14.41,4,71.1,48.47,4.22,1.835,19.9,1,4,1
"('Toyota Corona', 1)",9.14,4,120.1,72.33,3.7,2.465,20.01,0,3,1
"('Dodge Challenger', 0)",6.59,8,318.0,111.85,2.76,3.52,16.87,0,3,2
"('AMC Javelin', 0)",6.46,8,304.0,111.85,3.15,3.435,17.3,0,3,2
"('Camaro Z28', 0)",5.65,8,350.0,182.7,3.73,3.84,15.41,0,3,4
"('Pontiac Firebird', 0)",8.16,8,400.0,130.5,3.08,3.845,17.05,0,3,2
"('Fiat X1-9', 1)",11.61,4,79.0,49.22,4.08,1.935,18.9,1,4,1
"('Porsche 914-2', 0)",11.05,4,120.3,67.86,4.43,2.14,16.7,1,5,2
"('Lotus Europa', 1)",12.92,4,95.1,84.26,3.77,1.513,16.9,1,5,2
"('Ford Pantera L', 0)",6.72,8,351.0,196.86,4.22,3.17,14.5,1,5,4
"('Ferrari Dino', 0)",8.38,6,145.0,130.5,3.62,2.77,15.5,1,5,6
"('Maserati Bora', 0)",6.38,8,301.0,249.81,3.54,3.57,14.6,1,5,8
"('Volvo 142E', 1)",9.1,4,121.0,81.28,4.11,2.78,18.6,1,4,2
